Keywords,Tag Occurrences,Average Searches,Average Clicks,CTR,Competition,Keyword Difficulty,Searches
personalized gift,4,"41,355","47,129",114,"5,573,446",100,110000
wedding gifts,2,"25,538","27,722",109,"2,729,660",100,33100
personalized,1,"21,078","23,158",110,"6,968,219",100,33100
personalized gifts,1,"16,258","17,007",105,"5,572,188",100,110000
gift for her,1,"15,579","16,732",107,"5,409,638",100,33100
anniversary gift,2,"13,749","14,467",105,"1,692,772",100,60500
gift for him,53,"13,101","14,677",112,"2,176,606",100,27100
birthday gift,2,"11,429","12,233",107,"6,286,682",100,49500
wedding gift,5,"11,420","11,353",99,"2,719,345",100,33100
fathers day,2,"6,768","6,866",101,"1,190,500",100,1830000
mens jewelry,2,"5,569","5,785",104,"1,607,176",100,49500
mens necklace,2,"5,442","6,048",111,"541,017",100,10
gothic jewelry,1,"4,453","5,212",117,"173,596",80,9900
boyfriend gift,7,"4,189","4,737",113,"371,080",97,9900
custom jewelry,1,"3,329","3,504",105,"660,402",100,40500
gift for dad,1,"3,213","4,021",125,"1,560,860",100,110000
bridesmaid gift,1,"2,741","2,787",102,"573,517",100,18100
tie clip,2,"2,345","3,125",133,"108,797",83,22200
boho jewelry,1,"2,166","2,541",117,"1,274,752",100,4400
wedding accessories,6,"2,056","1,995",97,"476,024",100,2900
groomsmen gift,6,"1,888","1,943",103,"136,677",93,1900
memorial gift,1,"1,793","1,778",99,"516,543",100,6600
bolo tie,1,"1,657","2,203",133,"19,676",54,110000
mens gift,4,"1,294","1,309",101,"8,844,048",100,33100
pocket square,1,"1,263","1,281",101,"19,011",59,27100
cat lover gift,1,"1,220","1,391",114,"502,790",100,210
vintage style,2,"1,173","1,139",97,"1,387,480",100,3600
floral tie,17,"1,048","1,046",100,"41,520",80,2400
dad birthday gift,1,991,977,99,"489,241",100,33100
statement jewelry,1,968,956,99,"1,051,614",100,4400
gift for husband,9,910,974,107,"499,074",100,18100
crystal pendant,1,828,798,96,"249,510",100,1900
groom gift,14,533,571,107,"176,521",100,1900
tie bar,1,507,720,142,"17,526",77,27100
husband gift,6,426,424,100,"498,668",100,2900
name badge,1,395,362,92,"56,529",100,9900
best man gift,2,373,379,102,"401,843",100,18100
vintage tie,26,340,50,< 20,"166,685",100,320
